period_type,period,sector_name,event_count,company_count,increase_count,decrease_count,net_delta_shares,abs_delta_shares,net_ownership_delta,abs_ownership_delta
month,2025-03,산업재,8,6,2,6,1220874.0,4526720.0,-0.0306,0.0306
month,2025-03,소재,4,3,4,0,2134713.0,2134713.0,0.044,0.044
month,2025-03,운송,4,3,3,1,2766754.0,2800032.0,0.0026,0.0078
month,2025-03,유통,1,1,0,1,-154467.0,154467.0,-0.004,0.004
month,2025-03,통신,1,1,0,1,-715326.0,715326.0,-0.0034,0.0034
month,2025-03,헬스케어,2,2,1,1,-283861.0,395887.0,-0.0021,0.0109
month,2025-04,IT,14,13,12,2,10182410.0,10707290.0,0.1075,0.1385
month,2025-04,건설,5,3,5,0,15010971.0,15010971.0,0.0365,0.0365
month,2025-04,금융,18,17,11,7,14271696.0,19885114.0,0.0053,0.1237
month,2025-04,미디어,3,2,3,0,578067.0,578067.0,0.0283,0.0283
month,2025-04,부동산,1,1,1,0,20777.0,20777.0,0.008,0.008
month,2025-04,산업재,27,22,18,9,17373051.0,24160883.0,0.0508,0.2416
month,2025-04,섬유의류,5,3,1,4,-365537.0,1148337.0,-0.0064,0.0118
month,2025-04,소재,32,27,23,9,5078065.0,12534525.0,0.0934,0.251
month,2025-04,에너지,1,1,1,0,1551933.0,1551933.0,0.0102,0.0102
month,2025-04,엔터테인먼트,1,1,0,1,-640670.0,640670.0,-0.0034,0.0034
month,2025-04,운송,4,4,1,3,17096690.0,19981204.0,-0.0149,0.0331
month,2025-04,유통,13,10,9,4,1842994.0,4107806.0,0.0492,0.0972
month,2025-04,음식료,7,7,4,3,986025.0,1442115.0,0.0337,0.0531
month,2025-04,자동차,4,3,3,1,1277082.0,2336878.0,0.0095,0.0297
month,2025-04,전문서비스,6,6,3,3,610992.0,3214042.0,-0.0256,0.0542
month,2025-04,통신,1,1,1,0,4455954.0,4455954.0,0.0032,0.0032
month,2025-04,헬스케어,7,7,1,6,-1096205.0,1106687.0,-0.0205,0.0245
month,2025-04,호텔레저,1,1,0,1,-40209.0,40209.0,-0.0024,0.0024
month,2025-05,IT,3,2,1,2,2799479.0,3299529.0,-0.0187,0.0187
month,2025-05,건설,3,2,3,0,9172239.0,9172239.0,0.0171,0.0177
month,2025-05,산업재,6,2,4,2,6499958.0,6514848.0,0.0152,0.0158
month,2025-05,소재,3,2,1,2,863018.0,1325360.0,-0.0187,0.0245
month,2025-05,운송,1,1,1,0,77286.0,77286.0,0.0034,0.0034
month,2025-05,자동차,1,1,1,0,273948.0,273948.0,0.0166,0.0166
month,2025-05,헬스케어,1,1,1,0,34695.0,34695.0,0.0027,0.0027
month,2025-06,IT,1,1,1,0,3046195.0,3046195.0,0.0006,0.0006
month,2025-06,건설,2,1,2,0,1159227.0,1159227.0,0.0035,0.0139
month,2025-06,금융,1,1,1,0,655354.0,655354.0,0.0102,0.0102
month,2025-06,산업재,2,2,1,1,199258.0,203374.0,0.0024,0.0024
month,2025-06,소재,2,2,2,0,13387419.0,13387419.0,0.0073,0.0073
month,2025-06,운송,1,1,0,1,-73951.0,73951.0,-0.0033,0.0033
month,2025-06,유통,1,1,1,0,789669.0,789669.0,0.0201,0.0201
month,2025-06,유틸리티,1,1,1,0,6532650.0,6532650.0,0.0,0.0
month,2025-06,음식료,4,2,1,3,285399.0,933089.0,-0.0158,0.0164
month,2025-06,전문서비스,2,2,2,0,5389377.0,5389377.0,0.0317,0.0317
month,2025-06,통신,1,1,0,1,-1988306.0,1988306.0,-0.0092,0.0092
month,2025-06,헬스케어,2,1,2,0,376306.0,376306.0,0.0184,0.0184
month,2025-07,IT,17,16,8,9,3815416.0,9502354.0,-0.068,0.2304
month,2025-07,건설,8,4,6,2,5481440.0,7325688.0,0.017,0.0568
month,2025-07,금융,20,17,18,2,7583963.0,15251557.0,0.0939,0.1809
month,2025-07,미디어,13,12,12,1,2335837.0,3542571.0,0.1412,0.163
month,2025-07,미분류,1,1,1,0,27918.0,27918.0,0.0105,0.0105
month,2025-07,부동산,1,1,1,0,4004818.0,4004818.0,0.0113,0.0113
month,2025-07,산업재,23,21,15,8,4671200.0,11266014.0,0.0987,0.2505
month,2025-07,섬유의류,2,2,0,2,-1135470.0,1135470.0,-0.0211,0.0211
month,2025-07,소재,30,25,16,14,12612485.0,20262853.0,0.0225,0.2503
month,2025-07,엔터테인먼트,1,1,1,0,634017.0,634017.0,0.0102,0.0102
month,2025-07,운송,6,4,2,4,4481059.0,25535523.0,-0.0411,0.0415
month,2025-07,유통,11,8,6,5,1377767.0,2523563.0,0.0425,0.0965
month,2025-07,음식료,9,6,2,7,961744.0,2399548.0,-0.0263,0.0495
month,2025-07,자동차,3,2,0,3,-2199623.0,2199623.0,-0.0309,0.0309
month,2025-07,전문서비스,11,9,9,2,4120239.0,4832917.0,0.0564,0.0924
month,2025-07,통신,1,1,1,0,4584557.0,4584557.0,0.0105,0.0105
month,2025-07,헬스케어,6,6,2,4,-573850.0,773640.0,-0.0113,0.0701
month,2025-08,IT,2,2,1,1,3323077.0,6598047.0,0.0014,0.0236
month,2025-08,건설,1,1,0,1,-918924.0,918924.0,-0.003,0.003
month,2025-08,금융,1,1,0,1,-860628.0,860628.0,-0.0086,0.0086
month,2025-08,산업재,3,3,1,2,-367694.0,875030.0,-0.0043,0.0139
month,2025-08,소재,3,3,1,2,948273.0,1531837.0,-0.0019,0.0199
month,2025-08,운송,7,3,4,3,23561552.0,23672248.0,-0.0006,0.003
month,2025-08,유통,1,1,0,1,-152496.0,152496.0,-0.0034,0.0034
month,2025-08,음식료,1,1,1,0,9265.0,9265.0,0.0012,0.0012
month,2025-08,전문서비스,1,1,0,1,-124366.0,124366.0,-0.008,0.008
month,2025-08,헬스케어,2,2,1,1,-18144.0,130796.0,-0.0002,0.0114
month,2025-09,IT,1,1,0,1,-108235.0,108235.0,-0.0034,0.0034
month,2025-09,건설,2,2,0,2,-1969959.0,1969959.0,-0.0348,0.0348
month,2025-09,금융,2,2,1,1,1299963.0,2521929.0,0.0065,0.0269
month,2025-09,산업재,4,2,1,3,2417260.0,5611534.0,-0.014,0.018
month,2025-09,소재,7,6,1,6,1567066.0,4139546.0,-0.0283,0.0291
month,2025-09,운송,5,2,1,4,-526227.0,546013.0,-0.0102,0.0108
month,2025-09,유통,1,1,0,1,-548081.0,548081.0,-0.0198,0.0198
month,2025-09,자동차,1,1,0,1,-74011.0,74011.0,-0.0016,0.0016
month,2025-09,헬스케어,1,1,0,1,-23012.0,23012.0,-0.0018,0.0018
month,2025-10,IT,17,16,11,6,12179167.0,20137279.0,0.1008,0.2456
month,2025-10,건설,9,4,1,8,2591621.0,19823953.0,-0.0588,0.0596
month,2025-10,금융,20,17,12,8,9170723.0,11070969.0,0.0691,0.1175
month,2025-10,미디어,5,5,2,3,-531199.0,1292735.0,-0.0201,0.0419
month,2025-10,산업재,28,23,17,11,8684802.0,15286428.0,0.0772,0.2834
month,2025-10,섬유의류,4,4,2,2,-1349068.0,2230596.0,-0.0135,0.0655
month,2025-10,소재,36,29,16,20,-3296694.0,11222474.0,-0.0158,0.2998
month,2025-10,에너지,1,1,0,1,-783843.0,783843.0,-0.0107,0.0107
month,2025-10,엔터테인먼트,1,1,1,0,961756.0,961756.0,0.0457,0.0457
month,2025-10,유통,7,7,4,3,280572.0,2244206.0,0.0249,0.0633
month,2025-10,유틸리티,2,2,1,1,-13505.0,18191.0,0.0271,0.0271
month,2025-10,음식료,6,6,0,6,-941951.0,941951.0,-0.0721,0.0753
month,2025-10,자동차,4,4,3,1,5957636.0,6513248.0,0.0589,0.0795
month,2025-10,전문서비스,11,8,8,3,14455635.0,17256147.0,0.0126,0.0816
month,2025-10,통신,1,1,0,1,-5002487.0,5002487.0,-0.0104,0.0104
month,2025-10,헬스케어,10,8,1,9,-1375271.0,1765477.0,-0.0598,0.0798
month,2025-11,IT,2,1,1,1,7714890.0,7794180.0,0.002,0.003
month,2025-11,건설,1,1,0,1,-522727.0,522727.0,-0.0062,0.0062
month,2025-11,산업재,4,3,1,3,-474546.0,636992.0,-0.0025,0.0119
month,2025-11,소재,3,3,0,3,-1043528.0,1043528.0,-0.0081,0.0081
month,2025-11,운송,1,1,1,0,2283103.0,2283103.0,0.0006,0.0006
month,2025-11,유통,1,1,1,0,79363.0,79363.0,0.0005,0.0005
month,2025-11,전문서비스,2,1,1,1,11577356.0,11627718.0,0.0009,0.0011
month,2025-11,헬스케어,2,2,1,1,1174333.0,1176005.0,0.0019,0.0021
month,2025-12,IT,1,1,1,0,2403169.0,2403169.0,0.0172,0.0172
month,2025-12,건설,1,1,1,0,6694105.0,6694105.0,0.0021,0.0021
month,2025-12,금융,2,1,1,1,1627029.0,1643349.0,-0.0175,0.0175
month,2025-12,산업재,3,3,1,2,-1059004.0,8899792.0,-0.0983,0.1135
month,2025-12,소재,2,2,1,1,-143069.0,180187.0,-0.0085,0.0117
month,2025-12,운송,1,1,0,1,-901.0,901.0,-0.0001,0.0001
month,2025-12,유통,3,1,2,1,8860577.0,8907459.0,0.0002,0.0014
month,2025-12,음식료,1,1,0,1,-708984.0,708984.0,-0.0142,0.0142
month,2025-12,전문서비스,1,1,1,0,7988162.0,7988162.0,0.0299,0.0299
month,2025-12,헬스케어,1,1,1,0,57311.0,57311.0,0.0045,0.0045
month,2026-04,IT,31,27,17,14,-10099673.0,20432969.0,0.0602,0.4738
month,2026-04,건설,4,3,2,2,3593340.0,6714952.0,-0.0031,0.0319
month,2026-04,금융,14,13,9,5,7339735.0,9252491.0,0.0444,0.1454
month,2026-04,미디어,7,6,2,5,-616336.0,1073508.0,0.0051,0.0783
month,2026-04,미분류,1,1,0,1,-385601.0,385601.0,-0.0073,0.0073
month,2026-04,산업재,25,24,15,10,-22505399.0,36337959.0,0.0146,0.5386
month,2026-04,서비스,1,1,1,0,561256.0,561256.0,0.0082,0.0082
month,2026-04,섬유의류,2,2,1,1,608962.0,851618.0,0.0408,0.0408
month,2026-04,소재,35,27,26,9,6595293.0,8872329.0,0.1152,0.331
month,2026-04,에너지,2,2,2,0,2898001.0,2898001.0,0.0353,0.0353
month,2026-04,엔터테인먼트,3,2,2,1,3094632.0,7475150.0,0.0454,0.066
month,2026-04,운송,4,3,2,2,11467259.0,12468213.0,0.0221,0.0443
month,2026-04,유통,13,11,8,5,2048233.0,4823277.0,0.031,0.1248
month,2026-04,유틸리티,2,2,1,1,-1874068.0,1939344.0,-0.0058,0.0356
month,2026-04,음식료,5,5,3,2,158014.0,847490.0,-0.0336,0.0658
month,2026-04,자동차,7,5,2,4,-1511445.0,3766189.0,0.0341,0.0741
month,2026-04,전문서비스,14,13,7,7,-5112499.0,6410083.0,-0.0179,0.1125
month,2026-04,헬스케어,8,7,5,3,5794941.0,8142475.0,-0.0394,0.1078
quarter,2025-Q1,IT,19,12,10,9,15265892.0,24698642.0,0.0665,0.1119
quarter,2025-Q1,건설,7,4,3,4,-64483.0,3348813.0,-0.0096,0.025
quarter,2025-Q1,금융,24,20,18,6,13460465.0,39755475.0,0.0214,0.1402
quarter,2025-Q1,미디어,13,11,10,3,3457949.0,4694995.0,0.0244,0.0434
quarter,2025-Q1,산업재,32,21,20,12,10510170.0,17706552.0,-0.0599,0.0991
quarter,2025-Q1,섬유의류,2,2,2,0,746399.0,746399.0,-0.0037,0.0039
quarter,2025-Q1,소재,27,22,17,10,6286979.0,10975771.0,0.1148,0.1642
quarter,2025-Q1,에너지,1,1,1,0,1600991.0,1600991.0,-0.0087,0.0087
quarter,2025-Q1,엔터테인먼트,1,1,1,0,2181671.0,2181671.0,-0.0027,0.0027
quarter,2025-Q1,운송,11,4,8,3,21336353.0,22690543.0,0.0038,0.0124
quarter,2025-Q1,유통,18,10,13,5,16644466.0,21195304.0,0.0044,0.0376
quarter,2025-Q1,음식료,6,5,4,2,667707.0,835897.0,-0.012,0.0198
quarter,2025-Q1,자동차,2,1,2,0,1834112.0,1834112.0,-0.0001,0.0019
quarter,2025-Q1,전문서비스,5,4,3,2,1122195.0,2772613.0,0.0039,0.0191
quarter,2025-Q1,통신,3,2,1,2,1153069.0,2669963.0,-0.0043,0.0043
quarter,2025-Q1,헬스케어,18,9,8,10,1200187.0,4465673.0,-0.003,0.063
quarter,2025-Q2,IT,18,14,14,4,16028084.0,17053014.0,0.0894,0.1578
quarter,2025-Q2,건설,10,4,10,0,25342437.0,25342437.0,0.0571,0.0681
quarter,2025-Q2,금융,19,18,12,7,14927050.0,20540468.0,0.0155,0.1339
quarter,2025-Q2,미디어,3,2,3,0,578067.0,578067.0,0.0283,0.0283
quarter,2025-Q2,부동산,1,1,1,0,20777.0,20777.0,0.008,0.008
quarter,2025-Q2,산업재,35,22,23,12,24072267.0,30879105.0,0.0684,0.2598
quarter,2025-Q2,섬유의류,5,3,1,4,-365537.0,1148337.0,-0.0064,0.0118
quarter,2025-Q2,소재,37,27,26,11,19328502.0,27247304.0,0.082,0.2828
quarter,2025-Q2,에너지,1,1,1,0,1551933.0,1551933.0,0.0102,0.0102
quarter,2025-Q2,엔터테인먼트,1,1,0,1,-640670.0,640670.0,-0.0034,0.0034
quarter,2025-Q2,운송,6,4,2,4,17100025.0,20132441.0,-0.0148,0.0398
quarter,2025-Q2,유통,14,11,10,4,2632663.0,4897475.0,0.0693,0.1173
quarter,2025-Q2,유틸리티,1,1,1,0,6532650.0,6532650.0,0.0,0.0
quarter,2025-Q2,음식료,11,7,5,6,1271424.0,2375204.0,0.0179,0.0695
quarter,2025-Q2,자동차,5,4,4,1,1551030.0,2610826.0,0.0261,0.0463
quarter,2025-Q2,전문서비스,8,7,5,3,6000369.0,8603419.0,0.0061,0.0859
quarter,2025-Q2,통신,2,2,1,1,2467648.0,6444260.0,-0.006,0.0124
quarter,2025-Q2,헬스케어,10,7,4,6,-685204.0,1517688.0,0.0006,0.0456
quarter,2025-Q2,호텔레저,1,1,0,1,-40209.0,40209.0,-0.0024,0.0024
quarter,2025-Q3,IT,20,18,9,11,7030258.0,16208636.0,-0.07,0.2574
quarter,2025-Q3,건설,11,4,6,5,2592557.0,10214571.0,-0.0208,0.0946
quarter,2025-Q3,금융,23,19,19,4,8023298.0,18634114.0,0.0918,0.2164
quarter,2025-Q3,미디어,13,12,12,1,2335837.0,3542571.0,0.1412,0.163
quarter,2025-Q3,미분류,1,1,1,0,27918.0,27918.0,0.0105,0.0105
quarter,2025-Q3,부동산,1,1,1,0,4004818.0,4004818.0,0.0113,0.0113
quarter,2025-Q3,산업재,30,23,17,13,6720766.0,17752578.0,0.0804,0.2824
quarter,2025-Q3,섬유의류,2,2,0,2,-1135470.0,1135470.0,-0.0211,0.0211
quarter,2025-Q3,소재,40,26,18,22,15127824.0,25934236.0,-0.0077,0.2993
quarter,2025-Q3,엔터테인먼트,1,1,1,0,634017.0,634017.0,0.0102,0.0102
quarter,2025-Q3,운송,18,5,7,11,27516384.0,49753784.0,-0.0519,0.0553
quarter,2025-Q3,유통,13,8,6,7,677190.0,3224140.0,0.0193,0.1197
quarter,2025-Q3,음식료,10,6,3,7,971009.0,2408813.0,-0.0251,0.0507
quarter,2025-Q3,자동차,4,2,0,4,-2273634.0,2273634.0,-0.0325,0.0325
quarter,2025-Q3,전문서비스,12,9,9,3,3995873.0,4957283.0,0.0484,0.1004
quarter,2025-Q3,통신,1,1,1,0,4584557.0,4584557.0,0.0105,0.0105
quarter,2025-Q3,헬스케어,9,7,3,6,-615006.0,927448.0,-0.0133,0.0833
quarter,2025-Q4,IT,20,17,13,7,22297226.0,30334628.0,0.12,0.2658
quarter,2025-Q4,건설,11,4,2,9,8762999.0,27040785.0,-0.0629,0.0679
quarter,2025-Q4,금융,22,17,13,9,10797752.0,12714318.0,0.0516,0.135
quarter,2025-Q4,미디어,5,5,2,3,-531199.0,1292735.0,-0.0201,0.0419
quarter,2025-Q4,산업재,35,24,19,16,7151252.0,24823212.0,-0.0236,0.4088
quarter,2025-Q4,섬유의류,4,4,2,2,-1349068.0,2230596.0,-0.0135,0.0655
quarter,2025-Q4,소재,41,30,17,24,-4483291.0,12446189.0,-0.0324,0.3196
quarter,2025-Q4,에너지,1,1,0,1,-783843.0,783843.0,-0.0107,0.0107
quarter,2025-Q4,엔터테인먼트,1,1,1,0,961756.0,961756.0,0.0457,0.0457
quarter,2025-Q4,운송,2,1,1,1,2282202.0,2284004.0,0.0005,0.0007
quarter,2025-Q4,유통,11,8,7,4,9220512.0,11231028.0,0.0256,0.0652
quarter,2025-Q4,유틸리티,2,2,1,1,-13505.0,18191.0,0.0271,0.0271
quarter,2025-Q4,음식료,7,7,0,7,-1650935.0,1650935.0,-0.0863,0.0895
quarter,2025-Q4,자동차,4,4,3,1,5957636.0,6513248.0,0.0589,0.0795
quarter,2025-Q4,전문서비스,14,9,10,4,34021153.0,36872027.0,0.0434,0.1126
quarter,2025-Q4,통신,1,1,0,1,-5002487.0,5002487.0,-0.0104,0.0104
quarter,2025-Q4,헬스케어,13,8,3,10,-143627.0,2998793.0,-0.0534,0.0864
quarter,2026-Q2,IT,31,27,17,14,-10099673.0,20432969.0,0.0602,0.4738
quarter,2026-Q2,건설,4,3,2,2,3593340.0,6714952.0,-0.0031,0.0319
quarter,2026-Q2,금융,14,13,9,5,7339735.0,9252491.0,0.0444,0.1454
quarter,2026-Q2,미디어,7,6,2,5,-616336.0,1073508.0,0.0051,0.0783
quarter,2026-Q2,미분류,1,1,0,1,-385601.0,385601.0,-0.0073,0.0073
quarter,2026-Q2,산업재,25,24,15,10,-22505399.0,36337959.0,0.0146,0.5386
quarter,2026-Q2,서비스,1,1,1,0,561256.0,561256.0,0.0082,0.0082
quarter,2026-Q2,섬유의류,2,2,1,1,608962.0,851618.0,0.0408,0.0408
quarter,2026-Q2,소재,35,27,26,9,6595293.0,8872329.0,0.1152,0.331
quarter,2026-Q2,에너지,2,2,2,0,2898001.0,2898001.0,0.0353,0.0353
quarter,2026-Q2,엔터테인먼트,3,2,2,1,3094632.0,7475150.0,0.0454,0.066
quarter,2026-Q2,운송,4,3,2,2,11467259.0,12468213.0,0.0221,0.0443
quarter,2026-Q2,유통,13,11,8,5,2048233.0,4823277.0,0.031,0.1248
quarter,2026-Q2,유틸리티,2,2,1,1,-1874068.0,1939344.0,-0.0058,0.0356
quarter,2026-Q2,음식료,5,5,3,2,158014.0,847490.0,-0.0336,0.0658
quarter,2026-Q2,자동차,7,5,2,4,-1511445.0,3766189.0,0.0341,0.0741
quarter,2026-Q2,전문서비스,14,13,7,7,-5112499.0,6410083.0,-0.0179,0.1125
quarter,2026-Q2,헬스케어,8,7,5,3,5794941.0,8142475.0,-0.0394,0.1078
